signal,in_sample,post_sample,post_pub
OrderBacklog,0.22188588901069473,-0.10721748649852797,-0.27993082590943547
OrderBacklogChg,0.3623828682876827,-0.17251796735600614,0.7868694360969655
OrgCap,0.4646389045291018,-0.1169065689413511,0.1918468797775372
PS,0.786167802282156,0.8319748061939142,0.5996848940827344
PayoutYield,0.28170245184357534,0.4138368455070415,0.18427716777769612
PctAcc,0.4563911184468099,0.7187979503365538,0.14922976575842167
PctTotAcc,0.4665505780886742,-0.475868264404168,0.3820139517320954
PredictedFE,0.41227634268849384,0.1502604132168602,-0.03164217795847388
PriceDelayRsq,0.5561824505118903,2.043510037025811,-0.23686201445031363
PriceDelaySlope,0.1881506497445352,0.8888872680107406,-0.12779261422195481
PriceDelayTstat,0.15514992845223455,0.9008213310652958,-0.12233778003838182
ProbInformedTrading,1.6614716542224288,0.7762079367611395,0.5674394660364174
RD,0.7993492104867516,2.6271573179419296,0.29659722935919386
RDAbility,0.10441253281437764,0.054488161218683454,0.18786387065883253
RDIPO,0.8235045591397476,0.5119225694311353,0.6472922541491795
RDS,0.4171389891959342,0.04072611474636739,-0.11860752053574786
RDcap,0.4307621132596785,0.8668397368688212,-0.20715478538853876
REV6,1.1164336377637765,1.254554727840636,0.5813447019188761
RIVolSpread,1.045060952109228,0.38368883475110455,0.17469303325341448
RealizedVol,0.5149697348829952,0.5872758877713734,0.05378564524626536
Recomm_ShortInterest,0.8119460355504385,0.640307295979775,0.4283312561015312
ReturnSkew,0.5184263973810103,0.017491380745796054,0.29929790134534867
ReturnSkew3F,0.39326628015955256,-0.23838305695769949,0.2012921514202569
RevenueSurprise,0.6788242363477001,0.6395882336203691,0.3810501743778439
RoE,0.1437904967785446,0.34744831851308094,0.39885673323671356
SP,0.6424659996614407,1.4706167265055923,0.9214547450523035
STreversal,3.4632600313796864,2.9215900906141994,1.6521423482054292
ShareIss1Y,0.4496518488967543,0.43163148061609874,0.9706934397985953
ShareIss5Y,0.3342484265028909,0.5784034586348175,0.8502509412162397
ShareRepurchase,0.2766250150703479,-0.12115444036207872,0.27119281606109236
ShareVol,0.5805074868143435,0.07815485410657026,0.04745821391769676
ShortInterest,0.7611598290527166,0.5932854425571834,0.9886449885356482
Size,0.4967133669589979,1.0575097503186688,0.04123191346221221
SmileSlope,1.821287213974395,1.0102336597316623,0.8993675067800407
Spinoff,0.33748406135287157,0.1471880795113029,-0.009595466661657675
SurpriseRD,0.1019129533521235,0.18747987054715173,-0.03085098566633232
Tax,0.32110286089612966,0.7209405501086992,0.35955097341216347
TotalAccruals,0.3299768624759617,1.4475030714671862,-0.041103016174096146
UpRecomm,0.6520710993403098,0.9873225426755473,0.20970394070338438
VarCF,-0.6121994041067451,-0.10578331124055908,-0.05872427634104429
VolMkt,0.19772159253349936,0.3551260342710088,0.3896848630263246
VolSD,0.36818689199438387,-0.2029168372510131,0.03558421398402087
VolumeTrend,0.4906363442707392,0.9129983267241449,0.6969613255537908
XFIN,1.0960154696302178,1.2322961651482702,1.241834377515945
betaVIX,1.089992422494382,0.4271080854178079,0.21016112558415587
cfp,0.3745680530838381,-0.47687585149858935,0.9413419745418043
dCPVolSpread,1.3433018844157898,-0.06807484543536724,0.6922420723158824
dVolCall,0.875190177324769,0.16375601094788575,0.43232816444303673
dVolPut,0.3846302012647519,-0.12316042041476616,0.3379297939969773
fgr5yrLag,0.7593206655956346,-0.18636955049016046,0.012001588786602612
grcapx,0.4251615293929964,0.5439309521981641,0.1837606266112594
grcapx3y,0.48655389988773196,0.5231739531845486,0.06442992701275449
hire,0.5078709811520896,0.5473271358291707,0.15367817212042917
iomom_cust,0.4222731394386097,0.7492145141024672,0.04815066801551306
iomom_supp,0.6632542741681782,0.16842024414398615,0.03214546135774386
realestate,0.29624981416659124,0.21226916967548445,0.05734016363394222
retConglomerate,1.3859053248603428,-0.09668139405191904,0.2777702685279705
roaq,1.3017253654623753,0.704068324348707,1.1858723554745856
sfe,0.6857840541094895,-3.500452661714956,0.8213293978393468
sinAlgo,0.2626242438427024,-0.4613315728782899,-0.058918155961203304
skew1,0.638163920782595,0.455394299914101,0.20840162235561124
std_turn,0.5903159471006992,1.3182355001197292,-0.05851278670443527
tang,0.4470706976034843,-0.2181401391173776,0.11687036069963637
zerotrade12M,0.6668778122660464,-0.03335846284643755,0.16989255675909484
zerotrade1M,0.6152720205000235,0.16959818848499353,0.2524710356086508
zerotrade6M,0.6812331047754651,-0.04596294830535282,0.24825114930249645
